Strain_ID,Class,additive,Run_number,PATH_TO_KINETIC_DATA,flag,peak_od_time,auc_start,auc_value,gr_start,growth_rate
WT,control,none,1,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/WT_control_none_run1.csv,,23.0,5.0,28.0654,2.0,0.0854
WT,control,none,2,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/WT_control_none_run2.csv,,24.0,5.0,27.8148,2.0,0.0881
WT,control,glucose,1,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/WT_control_glucose_run1.csv,,23.0,5.0,27.8678,2.0,0.0911
WT,control,glucose,2,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/WT_control_glucose_run2.csv,,21.0,5.0,27.9623,2.0,0.1056
WT,treatment,none,1,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/WT_treatment_none_run1.csv,,22.0,5.0,27.9252,2.0,0.0966
WT,treatment,none,2,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/WT_treatment_none_run2.csv,,24.0,5.0,27.8376,2.0,0.0874
WT,treatment,glucose,1,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/WT_treatment_glucose_run1.csv,,23.0,5.0,27.9078,2.0,0.0891
WT,treatment,glucose,2,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/WT_treatment_glucose_run2.csv,,24.0,5.0,27.8745,2.0,0.0862
MutA,control,none,1,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/MutA_control_none_run1.csv,,23.0,5.0,27.9439,2.0,0.0894
MutA,control,none,2,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/MutA_control_none_run2.csv,,24.0,5.0,27.9073,2.0,0.0879
MutA,control,glucose,1,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/MutA_control_glucose_run1.csv,,24.0,5.0,28.1667,2.0,0.0767
MutA,control,glucose,2,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/MutA_control_glucose_run2.csv,,20.0,5.0,27.8426,2.0,0.1136
MutA,treatment,none,1,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/MutA_treatment_none_run1.csv,,21.0,5.0,27.9521,2.0,0.104
MutA,treatment,none,2,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/MutA_treatment_none_run2.csv,,20.0,5.0,27.9282,2.0,0.1109
MutA,treatment,glucose,1,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/MutA_treatment_glucose_run1.csv,,23.0,5.0,27.9124,2.0,0.0887
MutA,treatment,glucose,2,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/MutA_treatment_glucose_run2.csv,,24.0,5.0,27.9664,2.0,0.0797
MutB,control,none,1,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/MutB_control_none_run1.csv,,24.0,5.0,27.9059,2.0,0.0844
MutB,control,none,2,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/MutB_control_none_run2.csv,,24.0,5.0,28.1454,2.0,0.0773
MutB,control,glucose,1,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/MutB_control_glucose_run1.csv,,23.0,5.0,28.02,2.0,0.085
MutB,control,glucose,2,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/MutB_control_glucose_run2.csv,,23.0,5.0,28.0837,2.0,0.085
MutB,treatment,none,1,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/MutB_treatment_none_run1.csv,,22.0,5.0,28.165,2.0,0.0878
MutB,treatment,none,2,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/MutB_treatment_none_run2.csv,,20.0,5.0,27.9711,2.0,0.1097
MutB,treatment,glucose,1,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/MutB_treatment_glucose_run1.csv,,22.0,5.0,28.1041,2.0,0.0909
MutB,treatment,glucose,2,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/MutB_treatment_glucose_run2.csv,,24.0,5.0,28.0705,2.0,0.0771
OE1,control,none,1,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/OE1_control_none_run1.csv,,19.0,5.0,27.9925,2.0,0.1152
OE1,control,none,2,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/OE1_control_none_run2.csv,,21.0,5.0,27.7792,2.0,0.1071
OE1,control,glucose,1,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/OE1_control_glucose_run1.csv,,24.0,5.0,28.0186,2.0,0.0781
OE1,control,glucose,2,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/OE1_control_glucose_run2.csv,,21.0,5.0,27.8742,2.0,0.1073
OE1,treatment,none,1,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/OE1_treatment_none_run1.csv,,22.0,5.0,27.8009,2.0,0.1016
OE1,treatment,none,2,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/OE1_treatment_none_run2.csv,,21.0,5.0,28.0347,2.0,0.0981
OE1,treatment,glucose,1,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/OE1_treatment_glucose_run1.csv,,22.0,5.0,28.0954,2.0,0.0895
OE1,treatment,glucose,2,/Users/ibailertxundi/Desktop/PhD/ODIN/Processing/kinetic_viewer/sample_data/kinetics/OE1_treatment_glucose_run2.csv,,23.0,5.0,27.8796,2.0,0.0894
